id;nombre;regpub;DESCRIPCION;CODIGORUT;ORIGEN;DESTINO;UNIDAD;DIRECC_INI;DIRECC_FIN
140;SERVICIOS GENERALES BARRANCA E.I.R.L;;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;NULL;NULL;NULL;NULL;NULL;NULL
141;SERVICIOS GENERALES BARRANCA E.I.R.L;;SERVICIO DE TRANSPORTE REGULAR DE PERSONAS - MASIVO;NULL;NULL;NULL;NULL;NULL;NULL
142;EMPRESA DE TRANSPORTES BELEN & DAYANA E.I.R.L;;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
143;EMPRESA DE TRANSPORTES HIROSHIMA E.I.R.L.;;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
144;EMPRESA DE TRANSPORTES SHEMA TOURS;;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
145;EMPRESA DE TRANSPORTE EXPRESS GUS & JAZ;;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
146;EMPRESA DE TRANSPORTE BARRANCA TOURS S.R.L.;;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
147;EMPRESA DE TRANSPORTE DE SERVICIOS MULTIPLES VIRGEN DEL ROSARIO S.A.;;SERVICIO ESPECIAL M2;NULL;NULL;NULL;NULL;NULL;NULL
148;E.T. TURISMO NOR BARRANCA S.A.;;SERVICIO ESPECIAL M2;NULL;NULL;NULL;NULL;NULL;NULL
149;E.T. EXPRESS GUS &JAZ E.I.R.L.;;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
150;E.T. EXPRESS GUS & JAZ E.I.R.L.;;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
151;ASOC. DE TRANSPORTE CIUDAD Y CAMPO;80167747;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
152;ASOC. MOTOTAXIS M&R;;SERVICIO DE TRANSPORTE EN VEHÍCULOS MENORES - MOTO TAXI;NULL;NULL;NULL;NULL;NULL;NULL
